Pearson,RMSE,batchid,dataset,method,nbatch,ncells,nmix,normalizationC,normalizationT,nz,remove,transformation
0.9918,0.0253,1,Baron,MuSiC,1,1000,5,column,LogNormalize,0,none,none
0.9857,0.0343,1,Baron,SCDC,1,1000,5,column,LogNormalize,0,none,none
0.0202738227765651,0.1977669734575789,1,Baron,dsLDA,1,1000,5,column,LogNormalize,0,none,none
0.9935,0.0322,1,Han,MuSiC,1,1000,5,column,LogNormalize,0,none,none
0.971,0.0611,1,Han,SCDC,1,1000,5,column,LogNormalize,0,none,none
-0.0323542319026142,0.20462517985124246,1,Han,dsLDA,1,1000,5,column,LogNormalize,0,none,none
